"trf","logFC","logCPM","LR","PValue","FDR","log2FC","isSg","mir"
"mmu-miR-200a-3p",4.21628086381287,8.60823247155878,27.8098658613923,1.3384185332503e-07,6.00949921429385e-05,6.08217680175701,"Sgnificant","mmu-miR-200a-3p"
"mmu-miR-133a-3p",3.56928467507133,6.38577445577107,26.1189349894591,3.21020434869995e-07,7.20690876283139e-05,5.14885538957045,"Sgnificant","mmu-miR-133a-3p"
"mmu-miR-200c-3p",4.06747926406225,8.51668411934716,23.4050889000239,1.31230917492509e-06,0.000148439198937907,5.86752373017554,"Sgnificant","mmu-miR-200c-3p"
"mmu-miR-206-3p",3.77236336382566,7.20398143654726,23.3903564099657,1.32239820880095e-06,0.000148439198937907,5.44180562926482,"Sgnificant","mmu-miR-206-3p"
"mmu-miR-200b-3p",4.00682761668497,8.70262776486958,22.1172465641719,2.5649498015829e-06,0.000230332492182145,5.78003097184615,"Sgnificant","mmu-miR-200b-3p"
"mmu-miR-1a-3p",3.11988994654824,12.4915823172031,20.8489095562719,4.96975113170065e-06,0.000371903043022265,4.50058306594178,"Sgnificant","mmu-miR-1a-3p"
"mmu-miR-146a-5p",2.27276378139043,12.1733788850024,17.8879508515413,2.34299830437299e-05,0.00150286605523353,3.27856506564547,"Sgnificant","mmu-miR-146a-5p"
"mmu-miR-155-5p",2.30126417851194,5.90632673475425,17.3480260709428,3.1122135318646e-05,0.00174672984475901,3.31967818401031,"Sgnificant","mmu-miR-155-5p"
"mmu-miR-142a-3p",2.68450938711793,9.16345290560865,16.8769987539779,3.98819545826744e-05,0.00198551718643547,3.872526818259,"Sgnificant","mmu-miR-142a-3p"
"mmu-miR-15b-5p",2.48729414850589,5.63282408378615,16.6810350636617,4.42208727491196e-05,0.00198551718643547,3.58803487192449,"Sgnificant","mmu-miR-15b-5p"
"mmu-miR-15b-3p",2.32102208457085,4.35473969794825,13.2392479894443,0.000274147873052864,0.0111902177273396,3.34817986161774,"Sgnificant","mmu-miR-15b-3p"
"mmu-miR-21a-5p",1.89982534044798,13.6680632083063,12.6827088956603,0.000369052515137771,0.0138087149414049,2.74058441225695,"Sgnificant","mmu-miR-21a-5p"
"mmu-miR-142a-5p",2.22936543633005,9.90715789394941,12.5307776571323,0.000400303170307316,0.0138258556513835,3.21596098017613,"Sgnificant","mmu-miR-142a-5p"
"mmu-miR-31-5p",2.08461018364741,5.47255009307565,12.006927301397,0.000530031709874494,0.016998874123832,3.00714494817141,"Sgnificant","mmu-miR-31-5p"
"mmu-miR-130b-5p",2.16173823425692,6.27413636914502,11.2642267970649,0.000790150856316528,0.0236518489657414,3.11840566711643,"Sgnificant","mmu-miR-130b-5p"
"mmu-miR-20a-5p",2.01021839525962,7.22227034309575,10.2362265371345,0.00137709012282851,0.038644591571875,2.89983141186107,"Sgnificant","mmu-miR-20a-5p"
"mmu-miR-467c-5p",2.05633914060947,4.17268944640886,8.65534962868422,0.00326102499039142,0.0854475081792057,2.96636268349767,"N.S.","mmu-miR-467c-5p"
"mmu-miR-25-5p",1.7033874101201,4.23488199458277,8.46941875736308,0.00361166818863309,0.0854475081792057,2.45721376845573,"N.S.","mmu-miR-25-5p"
"mmu-miR-20b-5p",2.00583683983521,6.55705653422893,8.46732951228586,0.00361581883163677,0.0854475081792057,2.89351081899291,"N.S.","mmu-miR-20b-5p"
"mmu-miR-145a-5p",1.53555824940874,9.05307099657885,8.36453618496276,0.00382614264420333,0.0858969023623647,2.2151125752696,"N.S.","mmu-miR-145a-5p"
"mmu-miR-17-5p",1.66410158007715,6.23329802471954,7.67136931077832,0.0056103865171526,0.119955406961977,2.40054217283796,"N.S.","mmu-miR-17-5p"
"mmu-miR-223-3p",1.57432145515851,3.18817770826907,7.1583325995697,0.00746165274607643,0.152285549226742,2.271030261588,"N.S.","mmu-miR-223-3p"
"mmu-miR-363-3p",1.56908243788966,8.50822531710012,6.86606484204286,0.00878478848163991,0.166748262327566,2.26347274103236,"N.S.","mmu-miR-363-3p"
"mmu-miR-93-5p",1.51941668970111,7.29942029725723,6.84016764107958,0.0089130474295358,0.166748262327566,2.19182764165891,"N.S.","mmu-miR-93-5p"
"mmu-miR-148a-5p",1.4565338128779,4.64259594571534,6.72481669065473,0.00950805021605896,0.167911233562667,2.10111623343075,"N.S.","mmu-miR-148a-5p"
"mmu-miR-143-3p",1.35893333017052,15.8694944652253,6.68492801373213,0.00972314492790498,0.167911233562667,1.96032310058753,"N.S.","mmu-miR-143-3p"
"mmu-miR-106a-5p",1.90219968454422,5.1360876033872,6.48096970585988,0.0109035482276719,0.181321968674988,2.74400951154421,"N.S.","mmu-miR-106a-5p"
"mmu-miR-669a-5p",1.38321352480471,4.52512850132873,6.20695109505952,0.0127249611826177,0.197017502448115,1.99534838503044,"N.S.","mmu-miR-669a-5p"
"mmu-miR-669p-5p",1.38321352480471,4.52512850132873,6.20695109505952,0.0127249611826177,0.197017502448115,1.99534838503044,"N.S.","mmu-miR-669p-5p"
"mmu-miR-92b-3p",-1.32096690654791,8.2598283346788,6.05663204453302,0.0138541653938122,0.207350675394056,-1.90555480870617,"N.S.","mmu-miR-92b-3p"
"mmu-miR-214-3p",1.31506382750478,5.38318644327533,5.95050831922484,0.0147130428773277,0.212464455599056,1.89703934885547,"N.S.","mmu-miR-214-3p"
