"trf","logFC","logCPM","LR","PValue","FDR","log2FC","isSg","mir"
"mmu-miR-5099",0.101826105742767,4.48819957075486,0.303565189883961,0.58165595146626,0.810105781986435,0.146888786152127,"N.S.","mmu-miR-5099"
"mmu-let-7g-5p",-0.0821388349310261,14.8076381592104,0.293540317082488,0.587960693095437,0.814101868198896,-0.118489003099535,"N.S.","mmu-let-7g-5p"
"mmu-miR-19a-3p",0.170080060024698,1.83830243682039,0.289753170939839,0.590378747548765,0.814101868198896,0.245348217762746,"N.S.","mmu-miR-19a-3p"
"mmu-miR-30d-5p",0.0813743911348628,14.7001529100335,0.288957538285786,0.590889339907849,0.814101868198896,0.117386258174932,"N.S.","mmu-miR-30d-5p"
"mmu-miR-191-5p",0.0815745810227045,11.7017922291871,0.288726221061467,0.591037956312399,0.814101868198896,0.117675041187996,"N.S.","mmu-miR-191-5p"
"mmu-miR-3057-5p",0.133805300511245,2.71119672824215,0.285750420781654,0.592956719700939,0.814141745243913,0.193020228255301,"N.S.","mmu-miR-3057-5p"
"mmu-let-7f-2-3p",0.205991666615076,1.2182868170891,0.283642803649705,0.594323474028057,0.814141745243913,0.297152342671137,"N.S.","mmu-let-7f-2-3p"
"mmu-miR-322-3p",0.0857395908555677,6.25447522167247,0.28101583250434,0.596036175905023,0.814257070908501,0.123683257197027,"N.S.","mmu-miR-322-3p"
"mmu-miR-3084-5p",0.134797638690864,2.62655570888477,0.278203036271353,0.597881436362024,0.814552365615837,0.19445172118723,"N.S.","mmu-miR-3084-5p"
"mmu-let-7e-5p",0.0794948577428344,11.4649061391529,0.274706809296305,0.600191738199406,0.815477905162236,0.114674945820663,"N.S.","mmu-let-7e-5p"
"mmu-miR-17-5p",0.0886530531796849,5.15244555603107,0.262799273533529,0.608203505884774,0.818252441480956,0.127886059034216,"N.S.","mmu-miR-17-5p"
"mmu-miR-450a-5p",0.0845420400764622,5.81832613259018,0.261512684762855,0.60908281967177,0.818252441480956,0.121955735762173,"N.S.","mmu-miR-450a-5p"
"mmu-miR-30c-5p",-0.0773570034081481,12.5917631570446,0.260743540973731,0.609609791841305,0.818252441480956,-0.111590993764347,"N.S.","mmu-miR-30c-5p"
"mmu-miR-125b-5p",0.0772024431320784,14.0496819768488,0.259687110116033,0.610335195824655,0.818252441480956,0.111368033540408,"N.S.","mmu-miR-125b-5p"
"mmu-miR-335-3p",-0.0784689529678056,8.37699939528891,0.259569132172821,0.610416321344793,0.818252441480956,-0.113195031549049,"N.S.","mmu-miR-335-3p"
"mmu-miR-148a-5p",0.0995923141956851,3.95497494745644,0.251846182576234,0.615778113172293,0.822226791283271,0.143666440305997,"N.S.","mmu-miR-148a-5p"
"mmu-miR-872-3p",0.0956970223435161,4.20992324840695,0.250162815771322,0.616960457201521,0.822226791283271,0.138047304744447,"N.S.","mmu-miR-872-3p"
"mmu-miR-376a-5p",0.091037606271758,4.51159394338142,0.245204903959892,0.620471875680889,0.822226791283271,0.131325885262028,"N.S.","mmu-miR-376a-5p"
"mmu-miR-679-5p",-0.102364764322893,3.64014780714875,0.243855297266219,0.621435377587708,0.822226791283271,-0.147665825639279,"N.S.","mmu-miR-679-5p"
"mmu-miR-664-3p",-0.0953071967367553,4.1304602545265,0.243620341727523,0.621603454210153,0.822226791283271,-0.137484963586741,"N.S.","mmu-miR-664-3p"
"mmu-miR-192-5p",0.0750705676401869,8.82926433902367,0.240252544194174,0.624023773538284,0.823250360868449,0.108292706236598,"N.S.","mmu-miR-192-5p"
