"trf","logFC","logCPM","LR","PValue","FDR","log2FC","isSg","mir"
"mmu-miR-6538",4.06491965197602,3.66240087910377,172.512202258973,2.09170006555033e-39,1.03748323251297e-36,5.86383137339117,"Sgnificant","mmu-miR-6538"
"mmu-miR-375-3p",1.94174308528062,9.62693894021531,138.835468640314,4.78494758091242e-32,1.18666700006628e-29,2.80105266459545,"Sgnificant","mmu-miR-375-3p"
"mmu-miR-155-5p",1.92873639583791,4.39778819723648,88.9873519756822,3.97344874138743e-21,6.56943525242721e-19,2.7822899238409,"Sgnificant","mmu-miR-155-5p"
"mmu-miR-200c-3p",1.47321000418891,7.45575360236334,76.8447869569002,1.84935740109817e-18,2.29320317736173e-16,2.12517239743159,"Sgnificant","mmu-miR-200c-3p"
"mmu-miR-200b-3p",1.47855302408242,7.82099930655853,75.6040566425514,3.46648624029605e-18,3.43875435037368e-16,2.13287994650085,"Sgnificant","mmu-miR-200b-3p"
"mmu-miR-7b-5p",1.33727468322274,10.7613512013642,68.1868072149516,1.48717416315477e-16,1.22939730820794e-14,1.92907951784762,"Sgnificant","mmu-miR-7b-5p"
"mmu-miR-21a-5p",1.27579892422818,13.1387335979384,63.19543646191,1.87181548157541e-15,1.326314969802e-13,1.8403979410494,"Sgnificant","mmu-miR-21a-5p"
"mmu-miR-200a-3p",1.31663218883744,7.90139863448793,61.0387100266445,5.59635321831695e-15,3.46973899535651e-13,1.89930178136943,"Sgnificant","mmu-miR-200a-3p"
"mmu-miR-141-3p",1.65146441890381,4.48809987560468,58.988739289106,1.58576879063339e-14,8.73934800171291e-13,2.38231249340928,"Sgnificant","mmu-miR-141-3p"
"mmu-miR-881-3p",1.76685309255709,3.11760149103925,49.3918067092163,2.09619298548455e-12,1.03971172080034e-10,2.54876590027383,"Sgnificant","mmu-miR-881-3p"
"mmu-miR-200a-5p",1.44110618362935,3.60277642439975,37.9189324653944,7.3746107723725e-10,3.32527903917887e-08,2.07886117695978,"Sgnificant","mmu-miR-200a-5p"
"mmu-miR-146a-5p",0.83626853885922,10.8673881440819,27.8216285269701,1.33030596496235e-07,5.49859798851103e-06,1.20635538081519,"Sgnificant","mmu-miR-146a-5p"
"mmu-miR-429-3p",1.04536608566391,4.76141807706885,27.3998065693168,1.65447785710229e-07,6.31246936248259e-06,1.50798809684106,"Sgnificant","mmu-miR-429-3p"
"mmu-miR-206-3p",-1.10218487183364,6.09118739916717,26.5741703813401,2.53611843973579e-07,8.98510532934965e-06,-1.58995177865162,"Sgnificant","mmu-miR-206-3p"
"mmu-miR-741-3p",1.95968655609668,1.32559894985997,22.1431728833097,2.53054274555023e-06,8.36766134528609e-05,2.82693693688791,"Sgnificant","mmu-miR-741-3p"
