Trfs,Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq,Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq
tRF-16-08Q2B5D,-0.7072582900954386,1.4429518450003715,-1.125162161139135,0.3894686062342015,-0.9344627678638915,1.685986482790609,-0.34547185684533804,-0.40605185808137895,1.0008793477297526,-1.2525154674573797,0.9618160164080561,-0.7101798966804289,1.0884681891741739,-1.2062429175867078,-0.763693811606028,0.8814685400185637,-0.06101838713649492,1.5171802943883466,-0.1649482158609837,-1.2912136913908672,-1.391257470905113,-0.046622715673874666,1.4360451262364429,0.0018350603425450127
tRF-16-0P5830E,1.4736355447578593,-1.169083339252735,0.3033917610302951,-0.6079439665354192,-0.33487975945643633,0.29609732797742155,-1.3589102535652524,1.3976926850442666,-1.6495302531878437,0.09751939861613668,0.9565200587667873,0.5954907958049196,1.5599624447351732,-0.45889708532314927,0.061741022672758494,-1.162806382084783,1.6293692172798275,0.00454707688543189,-0.7452153784458128,-0.8887009157194472,0.20460736876490587,1.5448925718242188,-0.7314535203930081,-1.0180464201961166
tRF-16-3JWB61B,-1.2332772041687878,1.5359539828455433,0.04110132080932432,-0.343778099486079,-0.5292503850266816,0.5256812591160974,-1.310379084314617,1.3139482102252014,0.4837609593096315,0.23080471175333986,-1.6720836702873514,0.9575179992243813,0.6785086974797361,-1.1891051326820694,-0.7435262342052669,1.2541226694076,0.2050020086732846,-0.5504266386722247,1.5134855255714452,-1.1680608955725043,-1.4170882602291102,-0.4601510677572274,1.0337724629362879,0.84346686505005
tRF-16-3KMB01B,-0.9395603766331617,1.3893051743316667,-0.9617313540461663,0.5119865563476605,-1.159671939731439,1.4779331266725246,0.29925220165102473,-0.6175133885921107,0.18764037391413643,-1.1961210349546934,1.510612264243064,-0.5021316032025067,-0.7945898221215077,-0.8976500735920425,1.5981217522558098,0.09411814345774035,-1.0843487469569815,1.4202092336165493,0.44476560065543386,-0.7806260873150013,-1.0181217032703125,-0.28861875342838156,1.659934210894135,-0.35319375419544097
tRF-16-3KXR3RB,-1.316716080927248,1.0668596758460653,-0.6156307359312811,0.8654871410124626,-1.5267534993076322,1.2533253344511537,-0.03766750734890998,0.3110956722053896,-0.5312179218305466,-0.656241536442373,1.7299789497858915,-0.5425194915129716,-0.3613461036067676,-1.357171083592891,1.384075219630862,0.3344419675687957,-0.21658367354341967,1.3956784285757562,0.21978599498565862,-1.3988807500179952,-1.3986557767457968,0.03028246092936682,-0.05966219267113746,1.4280355084875673
tRF-16-3VLIE1B,0.36449796597539563,0.07222770754351159,-1.5906892800861754,1.153963606567267,-1.320758378316332,1.4780278730753866,-0.24990071820937163,0.09263122345031692,0.8975506826435522,-1.4950515472625796,0.9235383969437634,-0.32603753232473565,-0.7755979494775816,-0.11709216558606171,-0.7755979494775816,1.6682880645412255,1.4718884131495693,-0.618944567822412,0.3106493426511692,-1.1635931879783272,-0.7685507813279525,1.099736895715622,-1.2012248294807706,0.870038715093101
tRF-16-489B3RB,-0.8861804254123088,1.6449096504686485,-0.7118713620340037,-0.04685786302233612,-0.9094161679773853,1.6819868554400792,-0.23553767710789125,-0.5370330103548018,1.2350315269798797,-1.3889181650931066,0.5935490242831669,-0.43966238616993897,-0.049380141154649136,-1.125843071557701,1.597429456276669,-0.42220624356431985,-0.07101503040222064,0.05600695539769216,1.4202509124318072,-1.4052428374272794,-1.423748670724245,-0.448288317441567,1.0353061179992153,0.8367308701665961
tRF-16-73FJQ4D,-0.39756302453507536,1.7176151030063291,-0.7612022580544334,-0.55884982041682,-0.8540683112832921,0.5822358165092537,1.3389587073667086,-1.0671262125926724,1.4998187210315268,-0.18576957304152444,-1.3099682500148775,-0.004080897975124048,1.1512901169821834,0.3827490836333063,0.05498893705805032,-1.5890281376735405,1.179215148641447,-1.2186834152284907,0.7692284610331844,-0.7297601944461419,-1.218010817447437,1.412977779697934,0.4029849916461781,-0.5979519538966754
tRF-16-7P596VE,0.5257493461212625,-0.5852681400217826,-1.2701016698401146,1.3296204637406348,-0.054461251343345785,1.492539455017867,-0.11268710531411175,-1.3253910983604096,1.5315189278048946,-1.2531539203915283,-0.28970075327557687,0.011335745862209836,1.4825681250416884,-1.2498766912040438,0.20978873365677442,-0.4424801674944198,-1.5872916813463847,1.0117438405257213,-0.09383573679855506,0.6693835776192182,-1.657329423631243,0.09738388343426223,0.896292408644971,0.6636531315520102
tRF-16-884U1DD,-1.1950714155587905,0.18873563806020366,-0.5042613450193808,1.5105971225179669,-1.5964192372920163,-0.09380381589363042,0.7607922578351362,0.9294307953505123,1.2018729955596987,-1.404806280788515,0.6312919236621406,-0.42835863843332384,-0.7832861481835554,-1.1953423760033233,0.9811290366377181,0.9974994875491626,-0.9686482288646535,-0.762305359514606,1.5663730008462076,0.16458058753305163,-1.4050335327892822,-0.1896720595226348,1.3966700404008827,0.1980355519110344
