"","miRs","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","FMS_1017","FMS_1056","FMS_1067","FMS_1086","FMS_1098","FMS_1121","FMS_1136","FMS_1164","FMS_1177","FMS_1179","FMS_1180","FMS_1025","FMS_1181","FMS_1182","FMS_1183","FMS_1184","FMS_1185","FMS_1053","FMS_1078","FMS_1087","FMS_1104","FMS_1135","FMS_1027","FMS_1187","FMS_1190","FMS_1191","FMS_1165","FMS_1166","FMS_1169","FMS_1172","FMS_1173","FMS_1174","FMS_1175","FMS_1028","FMS_1176","FMS_1186","FMS_1188","FMS_1192","FMS_1193","FMS_1194","FMS_1195","FMS_1197","FMS_1200","FMS_1031","FMS_1042","FMS_1047","FMS_1049","FMS_1033"
"1","hsa-miR-148a-3p",2139.83614049282,0.576788494535106,0.107475213512263,5.36671178112426,8.01850360561425e-08,4.35404745784854e-05,1400.64756410997,1629.2134916923,1709.42111615761,1619.40703191309,3067.74096857331,2495.71620180978,1942.69797702041,2363.6617112185,1975.84389934892,2550.68694384308,2787.06719017054,1818.28235458692,2229.33525918567,1992.18720378522,2063.47475617576,2375.38354988079,3415.57026717259,2440.72970229316,1446.57664082377,1991.41607894266,2094.78359638144,1483.64634673085,1502.2786293977,1748.04381804925,1201.83454536402,2129.89095743291,1599.67817312256,3617.00261376579,3033.43093491671,2348.66402659144,2431.99329973226,1562.42568533678,3282.59673389539,1313.38455166685,3185.24031205586,2761.86482830367,3146.31993290271,1968.16199622707,2890.79717142742,2951.46877447094,2039.56602283324,2731.02972524959,1311.78994880786,1694.26277099337,1568.2630006847,1315.73767877462,1301.40486965398,1181.51389018227
"2","hsa-miR-192-5p",669.284705926032,0.59438855930188,0.119380837112514,4.97892772138698,6.39375127346715e-07,0.000173590347074633,334.076715821283,460.215895689517,515.340189429867,598.060944332154,976.67799980229,824.528665071596,643.807034073256,644.458011872591,488.286989238508,853.404439661162,865.642053679538,493.043678898771,806.871190484723,823.829194647702,722.608460242539,661.371402836097,805.764978775173,889.535700102175,387.501899757425,864.465476534477,730.765142877864,436.123019132044,371.376694667693,530.953068386552,398.650136834334,668.423226002882,555.350458211139,1005.00547141717,876.860096207478,751.706125153734,523.76681895997,542.438508536778,1301.25199074345,397.397471641686,1142.34906512835,732.641280806558,988.114230382601,699.382762478391,734.570652343943,941.582701420891,715.283329422689,836.99328960004,374.511023552779,447.422208918017,478.902280233226,381.988358353923,486.376972076563,415.988580007929
"3","hsa-miR-326",130.976102807462,-0.375371912510534,0.0832619757584717,-4.50832338640897,6.53419289674426e-06,0.00118268891431071,148.478540365014,142.740759090866,152.765009249379,169.314057299514,105.883930073352,121.359197456425,100.466702769393,147.972232333284,99.2136910404937,126.224470610349,120.923022912845,159.773597734592,91.5980650299853,101.33200426171,139.657226843835,111.070006583161,97.247497438383,127.774112457495,182.096757404805,131.242562936853,152.57733752395,111.791027055999,179.698400645658,159.618458972158,116.211663505212,149.545535309119,123.504564836668,109.97213570852,137.726716681803,123.613896136392,117.413614386738,138.904814335586,102.544314487935,180.37899422034,105.536817184447,107.64685485535,71.5703176414124,144.115235904638,114.352687304202,94.6394878770572,119.472486693161,112.5369128874,109.148934671799,216.959260260044,162.788917391532,152.209920570145,163.665521132955,131.574662686214
"4","hsa-miR-576-5p",151.804572155581,0.965929052726699,0.222331407893586,4.34454610744434,1.39563929031287e-05,0.00189458033659972,51.9674891277551,81.2145698275619,76.3825046246895,88.7533364876485,500.489614827595,91.3763369083673,93.2905097144367,134.343210934165,171.192251207126,184.176586047804,266.030650408259,62.7331917485514,189.257766716367,219.89044924791,160.056597056979,130.002394068928,143.88660335271,148.934156558736,64.0980586064913,161.612742790009,82.598257907702,85.5684404626163,110.21501906267,110.846152063998,77.9647869085597,128.020041590382,101.660220035625,785.061200000131,176.749286408314,162.869660449976,79.6370601927439,100.376471673161,216.875331790575,76.0973881867058,234.848411866489,78.726804297196,307.363999793352,146.941024843945,125.012683578323,132.334877116224,133.436803319634,276.31831289317,88.1202408359479,61.2167207372739,114.520110490554,118.548111213286,71.2736946869319,83.729330800318
"5","hsa-miR-182-5p",6921.23773922151,0.759628800257665,0.176858954460421,4.29511077103908,1.74606131393513e-05,0.00189622258693355,3603.07924619102,3215.76882549538,5890.15466042542,5797.64102656239,10452.4218403012,4798.68544295348,6168.45051595347,4207.4736062135,13256.3757251034,11696.8009432256,7543.09477411505,4417.78898766752,9677.06616434433,7800.53768806643,6601.55003743835,6062.15047294232,6287.34840581219,5053.99514879644,4323.70540781968,6885.35363242266,6037.70321344772,2297.9266672622,2374.41486719796,3227.83994810363,2675.81032805038,11687.2101685521,7271.64631742422,16802.8523883429,10048.3117045765,5939.31361774245,5263.19288837942,3909.6128764819,11363.5601836573,3368.95350663613,8935.25723074253,6168.00411626399,18153.3394823799,8757.11992291125,6511.31954234691,7047.43372860764,6605.12176432188,9970.56952305065,9972.60771005915,4376.09528682189,3986.43558170425,4959.99443088676,3669.93533475952,7098.38660007141
"6","hsa-miR-3653-5p",26.9944167133687,-0.689349979739082,0.162713923328223,-4.23657647507238,2.26953644647758e-05,0.00205393048406221,58.1540949762973,47.5802530302888,43.5090216216586,46.42482216277,22.5654277205505,27.1273500196715,35.8809652747834,31.1520489122702,28.5320418678544,20.6404794708746,19.1808932896237,56.8519550221247,28.9611529138924,42.5594417899182,37.6603757781128,63.1079582858872,41.6774989021641,14.6492613008592,33.5058033624841,16.2697392070479,17.2079703974379,15.1814975014319,45.5235948302333,13.3015382476798,5.88413486102338,29.4559387730083,12.6025066159865,6.99244793522384,9.18178111212019,2.50568708384578,6.12592770713415,7.09732627992046,23.5734056294104,41.3368528421612,8.11821670649591,9.64001685271787,9.98655594996452,5.65157787861326,11.6290868444951,7.21826602452131,6.20636294509926,12.0575263807929,12.0163964776293,58.5159830576883,56.7868316482087,51.2244924995682,44.2160883705966,50.5034058795569
"7","hsa-let-7i-5p",312800.861893782,0.390519087492886,0.0929556909466242,4.20113156619022,2.65584185807281e-05,0.00206017446990505,259161.868280115,258004.742405931,280456.25277177,260205.666478542,377138.886497115,358591.442766614,288801.788814986,256472.871691664,387450.862544529,314171.119619968,384067.365856956,248157.803465453,368841.834844309,412819.492121908,271033.093972295,303955.694606478,395796.322252816,275742.231618224,260388.165670456,295168.862642104,281270.012136255,221204.079548819,215300.247781576,300356.492863254,243829.722438517,182770.701324351,358412.767657333,449847.695725095,328485.105621934,282484.48000055,389936.739306064,369892.367634369,406137.954897141,241257.844243632,286876.323120555,276477.290005424,430392.821010276,288092.00815125,263730.246002883,568057.48539087,428920.967340441,198390.519894106,309490.302212327,216187.749529576,270578.841884579,359489.097691184,253788.46829811,336356.67026884
"8","hsa-miR-128-3p",5697.83236751054,0.448969910779131,0.107944321105551,4.1592730972861,3.19261995737066e-05,0.00216699079606534,3099.48953011968,3656.29634062064,4672.86892216613,4295.66148600219,9708.34132623378,6419.9015454449,5388.29581383604,6456.26213706801,4603.38557317951,6203.25794559286,6933.47594825788,4183.51972473152,6172.76666176335,5500.30119132561,5090.42745934158,5346.50622598036,6747.78553654086,4570.56952586808,4077.51059180839,5746.47188792931,6161.60060030927,6345.86595559854,5393.34799804501,4154.51377935866,3551.07538862761,5536.58356860353,4786.43201275168,12047.3521153057,9298.84882129973,6909.01451919076,5213.16447877116,4312.13266692882,7528.1670877522,3676.16148116765,7613.14765282748,5692.4299515299,7427.77839211806,6923.18290130125,5951.18519267039,7328.94610356397,4998.44955690931,7376.19176345005,6263.54666396425,3459.64496754917,4313.90631087559,4329.20139467779,4175.45061374276,3855.53632780512
"9","hsa-miR-664a-3p",33.8886564809629,0.78728313152432,0.195833278271623,4.02017031258778,5.8156083108638e-05,0.00350875034755449,12.3732116970845,17.2273329937252,17.4036086486634,39.5976424329508,76.9538945341851,29.982860548058,21.52857916487,27.2580427982365,44.094973795775,55.5705216523547,41.6975941078775,13.7228856949956,68.025033588445,38.5061616194498,38.4449669401568,55.5350032915807,54.5776771337864,36.6231532521481,14.5677405923844,14.1004406461082,21.7967625034214,26.2225865933824,19.1678294022035,23.2776919334396,14.7103371525584,14.7279693865042,40.3280211711569,60.3893230769332,41.3180150045409,45.9375965371726,24.5037108285366,32.4449201367793,45.9681409773502,18.7894785646187,41.7508287762647,30.5267200336066,33.843328497102,48.0384119682127,39.7327133853584,24.8629163066845,19.3948842034352,53.2540748485019,63.0860815075536,20.7056555434897,25.5540742416939,45.3702647853318,9.23918264460228,23.922665942948
"10","hsa-miR-27b-3p",599.671275408208,0.362960447154704,0.0984189488699745,3.6879122498476,0.000226101591132982,0.0122773163985209,388.518847288455,421.65948375118,465.063097778173,431.477758924568,801.940585145719,767.418454503866,592.548512252137,512.061803995442,459.754947370654,590.635258705027,728.8739450057,511.667595199122,575.181967173584,754.923431749739,571.182365968044,619.720150367412,639.054983166517,559.113472982795,434.118669653055,531.478147430231,588.512587592377,521.691459594661,522.323351210045,466.662300189433,319.214316210518,748.860597267635,625.924495260664,1057.13099238884,806.849015227562,603.870587206833,652.411300809787,468.423534474751,869.858667725243,392.700102000531,749.195427485194,687.654535493875,861.617855016383,760.137224673484,573.70161766176,759.521991691298,552.366302113834,810.868649108322,508.694117552972,475.329831607068,658.727247119221,459.556875567555,524.653585889915,401.369173042794
