,miR,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,001_FMS_1053,002_FMS_1078,003_FMS_1090,004_FMS_1096,005_FMS_1207,006_FMS_1209,007_FMS_1210,008_FMS_1212,009_FMS_1213,010_FMS_1214,011_SFN_122_,012_SFN_189_,013_SFN_204_,014_SFN_235_,015_FMS_1067,016_FMS_1098,017_FMS_1145,018_FMS_1154,019_FMS_1155,020_FMS_1162,021_FMS_1164,022_FMS_1166,023_FMS_1171,024_FMS_1169,025_FMS_1172,026_FMS_1173,027_FMS_1174,028_FMS_1175,029_FMS_1181,030_FMS_1182,031_FMS_1184,032_FMS_1185,033_FMS_1188,034_FMS_1193,035_FMS_1194,036_FMS_1195,037_FMS_1196,038_FMS_1197,039_FMS_1201,040_FMS_1202,041_FMS_1203,042_FMS_1204,043_FMS_1205,044_FMS_1215,045_FMS_1216,046_FMS_1217,,,,,,,,
11,miR-151a-3p,29138.08426,-0.274754729,0.087196427,-3.150986094,0.001627202,0.029089091,26350.30371,32113.14873,30756.42068,23551.58689,40065.65662,38544.76384,40874.80123,38462.80402,40353.14506,42473.22158,29773.20208,27361.61948,24095.91165,29123.18208,25112.86141,22367.50087,23003.06575,22836.38641,24926.13619,24526.76654,21932.5607,19194.42108,23890.12693,23397.33279,27340.27857,28279.95575,35369.21823,25555.49346,21157.98592,23995.07999,34698.40754,29301.73376,33565.82873,28303.72354,25227.64405,30686.3818,24367.6081,27727.82107,27378.76989,26801.57558,31735.10518,34364.75183,39534.27923,32521.42693,29435.78698,27916.09371,,,,,,,,
12,miR-25-5p,61.48266723,-1.0118412,0.283446098,-3.569783481,0.000357276,0.029089091,36.99669229,37.58033601,75.09808492,75.07048564,266.4715076,91.92150773,20.91995423,147.7808341,193.5110949,199.0420021,75.27752493,39.12995278,31.0914989,36.49950364,19.59973574,52.10930951,19.0638993,24.92860895,33.17709553,22.82545495,42.20363107,38.28197165,38.12199492,41.96182132,27.11404575,27.82364792,17.0342652,40.54056739,45.93113491,26.24499153,34.49353683,68.12290271,30.78083254,84.77794813,23.7280324,31.15707621,77.63293435,30.11468901,69.23244672,139.3623251,56.30631463,106.3704658,115.0308278,36.07176287,41.24339644,40.42404545,,,,,,,,
13,miR-26a-1-5p,90826.30045,0.280092101,0.085263167,3.285030464,0.001019713,0.029089091,77225.47859,85459.93891,84211.23752,79177.23632,63028.83879,84373.07166,92655.87194,61093.16521,70345.15321,52788.28064,86121.2524,89173.60511,100808.804,80149.48817,107974.9442,87535.23524,110170.9801,118730.5129,92745.64896,111186.867,128151.3258,133678.2524,111641.8076,91990.44106,86689.53547,79343.76932,85465.77546,99854.97368,119615.2012,92654.36374,95936.97852,83304.43713,92038.70417,90674.05257,92572.5456,111068.3002,113285.6311,111277.122,73650.00938,84915.66517,67366.1742,66409.4456,76160.0948,77260.25064,92915.37313,85133.97981,,,,,,,,
14,miR-26a-2-5p,90828.80452,0.280098501,0.085263154,3.285106016,0.00101944,0.029089091,77227.05292,85461.44213,84216.86988,79177.23632,63028.83879,84374.06006,92661.45059,61093.16521,70347.36477,52789.45147,86125.01627,89174.49443,100812.3915,80149.48817,107979.1441,87537.75666,110172.3922,118732.2935,92748.41372,111197.4646,128152.4364,133680.645,111642.8379,91991.88802,86692.92472,79343.76932,85468.20892,99859.95234,119617.115,92655.95435,95939.06904,83308.38628,92042.71906,90676.07109,92574.44384,111068.3002,113292.0244,111280.4681,73651.78457,84916.713,67366.1742,66414.17318,76166.14905,77263.52989,92917.62277,85135.85999,,,,,,,,
15,miR-30e-3p,1903.088305,0.270051343,0.085355283,3.16385035,0.001556968,0.029089091,1164.215062,1603.177134,1287.932156,1631.795293,1530.545722,2196.232152,1800.510727,1501.964824,1955.014947,1838.211431,2064.486121,1424.686008,1561.151993,1746.273127,1598.778444,1475.870121,1540.645491,1996.069331,1813.681222,1777.939901,2719.912961,2240.292883,1941.130768,1977.99344,2098.796604,1984.753552,2557.573247,1911.80781,2243.92732,1464.947709,1934.773839,2588.670303,2221.573131,1425.076938,1966.579325,1883.890358,2320.768073,2205.064451,1572.819174,1757.222701,1794.222372,2563.528226,2524.623957,2300.941237,1741.22121,2090.769234,,,,,,,,
16,miR-3182,11.58713403,-1.569107258,0.489259548,-3.207106052,0.001340776,0.029089091,19.67909164,1.503213441,6.57108243,1.580431277,83.27234614,23.72167941,25.10394507,31.26133029,49.75999583,37.46672981,12.2325978,2.667951326,2.989567202,3.421828466,2.799962249,0.840472734,8.472844131,5.341844775,0.921585987,6.521558557,0,3.190164304,8.242593496,23.1513497,0.84731393,3.709819723,3.650199686,2.844952098,0.956898644,3.181211095,3.135776076,0,2.676594134,6.055567724,6.643849071,35.60808709,14.61325823,18.96110049,2.662786412,22.00457765,3.248441229,2.363788129,23.00616556,1.093083723,3.749399676,11.28112896,,,,,,,,
17,miR-365a-5p,191.8233889,-0.74200274,0.198291027,-3.741988477,0.00018257,0.029089091,76.35487558,201.430601,315.4119567,395.1078192,599.5608922,163.086546,220.3568512,358.0843288,419.0897426,337.2005683,222.0686985,171.638202,139.3138316,111.7797299,122.4983484,165.5731286,46.60064272,174.5002626,101.3744586,147.5502623,124.3896495,122.0237846,148.3666829,159.1655292,106.7615551,113.1495015,131.4071887,202.702837,97.60366168,158.265252,158.8793212,83.91951783,105.7254683,280.5746379,138.5717092,121.2900467,218.2855448,117.1126795,213.9105085,199.0890359,264.2065533,180.8297919,256.7003736,145.3801352,251.9596582,235.02352,,,,,,,,
18,miR-369-3p,23.35241833,-1.928665815,0.586584778,-3.287957489,0.001009171,0.029089091,57.4629476,114.9958282,159.5834305,4.74129383,0,8.895629781,6.973318076,8.525817353,0,0,3.763876247,71.14536869,132.1388703,103.7954635,26.59964136,77.32349153,2.824281377,6.232152237,36.86343947,12.22792229,12.21684057,7.975410761,3.090972561,2.893918712,38.12912684,0.927454931,8.517132601,28.44952098,0.956898644,11.92954161,10.45258692,4.936442225,1.338297067,0,12.33857685,6.67651633,0.913328639,3.346076557,39.94179619,2.095674062,4.331254972,2.363788129,1.210850819,19.67550702,2.249639806,13.16131712,,,,,,,,
19,miR-369-5p,17.69254645,-1.95092232,0.59697685,-3.268003307,0.001083091,0.029089091,22.82774631,105.9765476,159.5834305,2.370646915,0,1.976806618,5.578654461,9.946786911,2.21155537,1.170835307,5.64581437,54.24834362,79.52248758,60.45230291,22.39969799,21.85229108,2.824281377,5.341844775,20.27489171,3.260779278,6.663731222,1.595082152,0,0,16.09896467,4.637274653,14.60079875,37.69561529,1.913797288,6.36242219,6.271552152,3.94915378,0,14.12965802,12.33857685,7.789269051,0,0,39.05420071,0,3.248441229,2.363788129,7.265104912,29.51326053,1.49975987,9.400940802,,,,,,,,
20,miR-379-5p,140.40796,-1.72779945,0.499780721,-3.457115048,0.000545992,0.029089091,209.3855351,841.7995267,1105.8193,18.96517532,6.661787691,24.71008272,50.20789015,93.78399088,17.69244296,7.02501184,45.16651496,335.2725499,791.6373952,273.7462773,125.2983106,359.7223301,20.47603998,40.95414327,277.397382,35.86857206,49.97798417,11.96311614,12.36389024,27.49222776,228.774761,29.67855778,51.10279561,331.4369194,19.13797288,42.15104701,27.17672599,49.36442225,68.25315041,50.46306436,64.54024812,22.25505443,15.52658687,11.15358852,184.6198579,44.00915531,59.55475586,26.00166942,44.80148029,155.2178887,23.24627799,126.9127008,,,,,,,,
