,Ester_24h_CNT_F_S_S5_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_S_S6_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_S_S17_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_S_S18_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_S_S7_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_S_S19_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_S_S20_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq,Ester_24h_PS_F_S_S8_R1_001.flexbar_q.fastq,Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_S_S1_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_S_S2_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_S_S13_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_S_S14_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_S_S3_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_S_S4_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_S_S15_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_S_S16_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_S_S10_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_S_S9_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_S_S21_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_S_S22_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_S_S11_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_S_S12_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_S_S23_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_S_S24_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq
tRF-19-1PSJQMFD,0,0,0,0,0,0,0,6.65466677790691,0,0,4.48695355221918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98937472633018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-19-1PW4PU24,28.473203660008,123.928612158395,16.0836550941437,18.3202926406236,96.5485406763355,57.2444659369351,43.130227920587,0,54.0073167485453,29.5185125200088,103.199931701041,106.246890389249,16.6348049969484,16.9010272148239,62.1175678695126,12.3467960576369,28.4335072887768,125.848402017618,6.84112440845882,34.0691921028435,80.1244658521501,20.9673164667646,37.2378337702341,60.4015641149488,100.2352435983,216.486394580003,0,57.6490120538883,64.4125762571866,155.747698889647,57.6600470124162,23.9362483579811,84.4278600218324,81.6184294805492,16.0422023843759,25.6398027785067,79.553627046294,117.197912469644,26.6173564433878,57.5235041405389,83.4503000236826,55.6766386508494,24.7675401809868,21.6356840448415,100.74676478223,120.466736367692,6.47164586317743,11.6493112187966
tRF-19-1R265MI2,0,0,0,0,0,0,0,0,0,7.37962813000219,0,4.4269537662187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.24081927762621,0,0,0,3.98937472633018,0,0,0,0,0,0,0,0,0,4.84144683920429,0,0,0,0,0,0
tRF-19-1RXSMMI2,4.74553394333466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11559868587897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6628289683581,0,0,0,0,0,2.42072341960215,7.07644005171052,0,0,0,0,0
tRF-19-1S91542O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3734029155107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9553627046294,8.37127946211746,0,0,0,0,0,0,0,0,0,0
tRF-19-1SS2P4IR,52.2008733766813,16.1646015858776,38.600772225945,22.9003658007795,86.893686608702,128.800048358104,26.9563924503669,46.5826674453484,60.7582313421134,40.5879547150121,94.2260245966028,66.4043064932804,27.724674994914,16.9010272148239,101.646929241021,45.2715855446686,5.68670145775536,119.394637811586,41.0467464507529,5.67819868380724,98.9772813467736,52.4182911669116,21.2787621544195,80.5354188199317,52.7553913675264,59.4276377278438,46.5690109543681,31.4449156657572,77.2950915086239,24.9196318223436,31.4509347340452,23.9362483579811,10.5534825027291,136.030715800915,20.0527529804699,14.6513158734324,95.4643524555528,16.7425589242349,58.5581841754531,11.5047008281078,31.6535620779486,60.5180854900537,10.6146600775658,64.9070521345245,95.7094265431184,40.1555787892305,32.3582293158872,87.3698341409747
tRF-19-1SS2PMER,66.4374752066852,145.481414272899,125.452509734321,82.4413168828062,115.858248811603,78.7111406632857,97.0430128213208,139.748002336045,81.0109751228179,62.7268391050186,62.8173497310686,88.5390753243739,72.0841549867763,84.5051360741196,112.941032490023,123.467960576369,73.9271189508197,158.117223047777,41.0467464507529,119.242172359952,169.675339451612,52.4182911669116,90.4347391562829,116.776357288901,118.699630576934,50.9379751952947,77.6150182572801,104.816385552524,141.70766776581,71.6439414892378,99.5946266578098,127.659991242566,77.3922050200131,54.4122863203661,108.284866094538,117.210526987459,39.776813523147,58.5989562348222,111.792897062229,80.5329057967545,51.796737945734,171.871362791752,127.375920930789,86.542736179366,166.232161890679,200.777893946153,110.017979674016,151.441045844356
tRF-19-1YS2PMER,0,0,0,0,0,0,0,6.65466677790691,0,0,0,0,0,4.22525680370598,0,0,0,0,0,17.0345960514217,0,0,5.31969053860488,0,0,0,7.76150182572801,0,0,0,0,0,0,0,0,0,0,8.37127946211746,0,0,0,0,0,4.3271368089683,0,0,12.9432917263549,0
tRF-19-1Z3L7L24,0,0,0,0,0,0,0,0,0,0,4.48695355221918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9432917263549,0
tRF-19-2J1Y0S2E,0,0,0,0,0,0,10.7825569801468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63776956837632,4.24483126627456,0,0,0,0,0,3.98937472633018,0,0,0,0,0,0,0,0,0,0,0,0,5.0373382391115,0,0,0
