Trfs,Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq,Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq
tRF-16-08Q2B5D,-0.16591644416056026,-0.7033280068334732,1.4593193735775631,-0.5900749225835294,-1.1658305726486233,0.43648025262916273,1.1342036261129411,-0.4048533060934805,-0.01161602462780057,1.3651036108468946,-1.0087022819300786,-0.344785304289015,0.3885153428675265,-0.18368074097327952,1.0796018627480866,-1.2844364646423334,0.3060950506274968,0.5591176521638077,-1.486028574553221,0.6208158717619136,-0.6995267481843319,0.05099482470523488,-0.7475934106928122,1.3961253341719093
tRF-16-0P5830E,-0.7456564713524236,-0.7341811553457175,0.10351691314382791,1.3763207135543127,-0.42800364547254965,0.7186710696530056,-1.2078968860629948,0.9172294618825392,1.4617947104504625,-0.791230338248697,-0.41364827475128835,-0.25691609745047744,-0.6484246863001943,1.1985797602374713,0.4290590555530522,-0.9792141294903293,1.4493288749620963,-0.7702147735512855,-0.14511292835024223,-0.5340011730605687,-0.6622615818418626,-1.0342004461506924,0.6856774409999911,1.0107845869925636
tRF-16-3JWB61B,0.09144370876940047,-1.15202512785264,1.2726045514138755,-0.21202313233063494,-0.8797659432888268,1.4381819771007156,-0.3086210443147096,-0.24979498949717896,0.027929500990048678,1.1333664549484403,-1.3018956029679363,0.14059964702944827,0.9612889155007271,0.6777487986615965,-0.4498177124893653,-1.1892200016729593,-0.01006325789137609,-0.7087124097164235,-0.6987487880417936,1.4175244556495934,-0.7502489312829164,-0.40833080040697844,-0.3149245942278376,1.4735043259177323
tRF-16-3KMB01B,-0.1618294927886049,-0.8238001209380814,1.443980330912306,-0.45835071718561987,-1.3190831260122813,0.2009455558948402,0.013851040766719017,1.1042865293507211,-0.6656167299408862,1.4322357696073564,-0.7087343906486464,-0.057884649017823815,0.9777620545522141,0.04053789060398289,0.3637390968203712,-1.3820390419765693,-0.46777233925348805,-0.7278745022028146,-0.27870440624886683,1.47435124770517,-0.7562359050728538,1.0169499871830967,-0.9549581758899119,0.6942440937796684
tRF-16-3KXR3RB,-0.4605348810918282,-0.6823341496545785,1.4850134448569354,-0.3421444141105286,-1.163046445137659,1.2256102036843317,0.23634237517285808,-0.2989061337195307,-0.02529650548727825,1.3468185052864987,-1.0558747826580135,-0.265647217141206,0.6819033025359835,0.1322759002210507,0.6383928435028372,-1.452572046259872,0.8408126945057857,-1.152905369570764,-0.5203937199220545,0.832486394987033,-0.3361584529473423,1.0795506347397508,-1.2217701916574297,0.47837800986502105
tRF-16-3VLIE1B,-0.3807316613987104,-0.7466144222664048,1.475307757685032,-0.34796167401991646,-1.1712607844430236,0.9009357452791023,-0.4893073132782082,0.7596323524421298,0.09943386740032228,1.3691278665121291,-0.8707817973519341,-0.5977799365605169,0.32860144744711656,0.9794720364029331,0.07983228558075167,-1.3879057694308012,0.7353432897494443,-0.5668851650793588,-1.114695555227881,0.9462374305577956,-0.7794415148025761,1.461524009129447,-0.4501288981759801,-0.23195359615089056
tRF-16-489B3RB,-0.197780760733383,-0.9430060540547387,1.4132828053291107,-0.27249599054098955,-1.38176318804704,0.9271562686370654,0.48006621417779444,-0.025459294767819465,0.2323439280685567,1.307462649767605,-0.9296774576353545,-0.6101291202008071,0.18574915118251695,0.30020618304850605,0.931181011909735,-1.4171363461407598,-0.8501281272938155,0.5851561799897926,-0.8421342974727535,1.1071062447767765,-0.795729625676876,-0.2885153910871912,-0.3786868105698018,1.4629318273338696
tRF-16-73FJQ4D,0.24342463343664691,-1.1331628097447877,1.2388682957284431,-0.34913011942030237,0.1738888222669163,-1.2647230926827908,1.1680239427392374,-0.07718967232336284,-0.4661652006821569,1.4994853877733723,-0.5300442820154377,-0.5032759050757772,-0.31141734841069435,1.4248829631445938,-0.9122781201273378,-0.201187494606562,0.5070853093654121,-0.9936851579761624,-0.6614278219005407,1.1480276705112904,0.23924217829708883,-0.18642247659513417,1.1791221644642234,-1.2319418661661783
tRF-16-7P596VE,1.2689469557774646,-1.0564988229097443,0.24804754972663562,-0.46049568259435597,-0.2657030978454897,-0.7021276006240595,1.4759008747811868,-0.5080701763116373,1.4806671776842149,-0.3949037955599291,-0.7192827117508561,-0.36648067037342946,-0.8828473269000698,1.4002369231298788,-0.5097636724758542,-0.007625923753953826,-1.3162235852946782,-0.239419551894773,0.7883326708730327,0.7673104663164185,-0.363998059564588,1.4894959598095387,-0.4746171266522351,-0.6508807735927157
tRF-16-884U1DD,0.20812278884824834,-0.4958548532846523,1.2991620979051897,-1.011430033468786,-0.2182721653534645,1.468430589352571,-0.5395782659883948,-0.710580158010712,-0.40819186780091954,1.4576280014635705,-0.8058247272754591,-0.24361140638719259,-0.0038523976354772273,0.621800150682663,0.7915759903373878,-1.409523743384573,0.45819376879591656,0.8194807568152238,-1.4457708606772646,0.1680963350661272,-1.0154287710725751,0.10988447206709533,-0.42666647113713,1.3322107701426094
