Trfs,Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq,Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq,Pearson_correlation,p_values
tRF-20-9N1EWJQ7,20.96,17.48,16.31,54.42,17.72,7.02,44.29,9.55,81.68,60.62,150.71,69.55,40.28,4.49,16.44,72.12,70.78,73.17,22.64,6.84,20.21,51.23,10.76,33.7,-0.20047927651264963,0.34757790311726783
tRF-20-BMW36D46,20.96,69.9,0.0,32.65,10.13,7.02,28.18,28.64,49.01,20.21,37.68,55.64,0.0,4.49,41.1,11.1,96.52,112.57,15.09,27.37,27.56,68.31,10.76,33.7,-0.019895384546721254,0.9264813561228307
tRF-20-BMW3RD46,2.33,34.95,0.0,10.88,2.53,0.0,16.1,9.55,0.0,15.16,9.42,9.27,26.86,0.0,32.88,11.1,19.3,33.77,7.55,6.84,25.72,46.96,10.76,20.22,0.3687150233515166,0.07623306221256271
tRF-20-DR3J0926,9.32,61.16,4.08,0.0,10.13,7.02,8.05,38.19,32.67,15.16,18.84,9.27,0.0,26.92,0.0,11.1,51.48,45.03,37.73,13.68,5.51,34.16,64.54,20.22,0.19506119299791758,0.3610298007159099
tRF-20-DRFU8U76,16.3,69.9,28.55,32.65,5.06,63.16,28.18,42.96,65.34,30.31,103.61,32.46,40.28,35.89,65.76,27.74,109.39,28.14,75.45,54.74,20.21,17.08,75.3,67.41,-0.0722168087919596,0.7373683453057072
tRF-20-HENBRSX3,6.99,78.64,20.39,0.0,2.53,14.04,12.08,42.96,0.0,15.16,18.84,13.91,0.0,17.95,8.22,22.19,0.0,11.26,0.0,13.68,1.84,17.08,10.76,33.7,0.029250169783288524,0.8920782817916969
tRF-20-I7XUK87S,2.33,8.74,12.23,10.88,12.66,35.09,16.1,23.87,16.34,5.05,0.0,18.55,40.28,13.46,24.66,22.19,25.74,16.89,15.09,6.84,3.67,17.08,0.0,0.0,-0.35144557074502236,0.09217735422459189
tRF-20-J9ZH0SR9,93.16,270.86,77.49,293.89,63.3,175.44,128.83,143.2,179.69,131.35,244.9,134.46,134.28,76.27,230.15,155.35,501.92,315.21,384.8,82.11,66.15,115.28,193.63,141.56,-0.2560833896636803,0.22710766954102274
tRF-20-JOWU1M70,13.97,17.48,36.7,10.88,0.0,56.14,8.05,4.77,65.34,35.36,9.42,27.82,40.28,4.49,16.44,22.19,0.0,16.89,15.09,20.53,12.86,34.16,107.57,47.19,0.4402691400231975,0.03131208699361139
tRF-20-M0NK5Y93,9.32,43.69,16.31,54.42,17.72,28.07,8.05,9.55,49.01,5.05,37.68,18.55,0.0,17.95,32.88,22.19,19.3,22.51,22.64,27.37,9.19,17.08,43.03,26.96,-0.012705580619433006,0.9530128837982739
tRF-20-MMUKLYM9,11.64,61.16,16.31,21.77,15.19,7.02,8.05,42.96,16.34,35.36,18.84,23.18,26.86,4.49,8.22,61.03,6.43,16.89,15.09,13.68,7.35,0.0,96.81,13.48,0.12467149869781091,0.561624342220653
tRF-20-R29P4P9L,20.96,113.59,28.55,43.54,22.79,49.12,16.1,47.73,16.34,45.47,18.84,88.1,40.28,31.41,49.32,44.38,109.39,101.32,30.18,20.53,36.75,34.16,21.51,13.48,-0.29031264442219545,0.16877088168244114
tRF-20-RK9P4P9L,9.32,34.95,8.16,21.77,10.13,7.02,16.1,19.09,98.01,10.1,28.26,69.55,13.43,35.89,41.1,5.55,32.17,67.54,22.64,6.84,12.86,12.81,32.27,26.96,-0.15372074018788912,0.4732799043645066
tRF-20-RKIP4OI3,13.97,26.21,12.23,32.65,37.98,14.04,12.08,28.64,0.0,10.1,9.42,18.55,40.28,8.97,16.44,11.1,12.87,16.89,0.0,13.68,5.51,17.08,10.76,6.74,-0.1994190638912587,0.3501865487904722
tRF-20-RPM830MM,62.88,61.16,36.7,0.0,25.32,49.12,20.13,28.64,0.0,15.16,0.0,78.82,0.0,13.46,0.0,27.74,6.43,11.26,22.64,6.84,18.37,25.62,10.76,26.96,-0.033881024491619414,0.8751137433612393
tRF-20-RX8HWVZ5,25.62,69.9,0.0,0.0,2.53,35.09,12.08,19.09,16.34,0.0,37.68,32.46,0.0,17.95,24.66,83.22,51.48,50.66,30.18,20.53,3.67,8.54,0.0,47.19,-0.2138928265937989,0.31557396170152896
tRF-20-S3M8309N,95.49,166.01,77.49,185.04,141.8,196.5,56.36,124.11,228.69,75.78,65.94,111.28,107.42,89.73,115.07,122.06,122.26,191.38,150.9,75.27,55.12,72.58,107.57,67.41,-0.3797416489755328,0.06720681348671252
tRF-20-SBKKRSL3,18.63,43.69,24.47,65.31,0.0,14.04,8.05,52.51,32.67,25.26,18.84,32.46,0.0,13.46,16.44,49.93,6.43,33.77,15.09,0.0,11.02,12.81,21.51,6.74,-0.24871175981841603,0.24123029256180795
tRF-20-UMJYX9X5,4.66,52.43,4.08,10.88,5.06,14.04,24.16,19.09,32.67,10.1,0.0,18.55,26.86,0.0,8.22,16.64,6.43,5.63,7.55,13.68,7.35,12.81,32.27,13.48,0.08310652409997252,0.6994435771640679
tRF-20-UMX0S75N,11.64,17.48,0.0,0.0,5.06,0.0,4.03,14.32,81.68,5.05,9.42,0.0,26.86,4.49,16.44,49.93,12.87,22.51,15.09,0.0,7.35,8.54,43.03,33.7,0.13590724912808622,0.5265949826948328
tRF-20-V47P596V,65.21,104.85,24.47,65.31,25.32,14.04,44.29,38.19,0.0,20.21,28.26,134.46,120.85,44.87,41.1,138.7,148.0,95.69,60.36,6.84,20.21,51.23,64.54,134.82,0.016178280051828434,0.9401903196637864
tRF-20-VBY9PYKH,407.56,1494.12,362.96,1186.46,364.62,975.46,624.04,639.63,1143.45,555.7,1233.93,816.06,1329.38,668.52,986.35,1270.51,1010.28,1030.05,867.69,992.14,380.36,764.23,1075.7,1024.62,-0.14515409526785067,0.4985687346961156
tRF-20-W3FJHPEZ,4.66,26.21,8.16,54.42,5.06,7.02,12.08,23.87,16.34,0.0,0.0,4.64,26.86,17.95,8.22,16.64,12.87,28.14,45.27,0.0,3.67,17.08,10.76,40.45,0.036601165753223475,0.8651732082554807
tRF-20-W7WK6WRN,0.0,96.11,12.23,21.77,2.53,28.07,12.08,38.19,32.67,30.31,28.26,0.0,13.43,17.95,41.1,44.38,135.13,28.14,30.18,41.05,9.19,17.08,64.54,33.7,-0.047858641690888125,0.8242600955301318
tRF-20-WB0Q37Q5,9.32,34.95,20.39,10.88,15.19,21.05,40.26,33.41,130.68,15.16,37.68,23.18,80.57,17.95,65.76,27.74,77.22,90.06,22.64,47.9,7.35,34.16,32.27,40.45,-0.18546874301711394,0.3855770078605626
tRF-21-18YKISQID,16.3,69.9,12.23,43.54,10.13,21.05,28.18,33.41,0.0,40.41,28.26,51.0,13.43,22.43,49.32,49.93,51.48,39.4,15.09,41.05,14.7,34.16,43.03,20.22,-0.1164671696460908,0.5878451600910857
tRF-21-2E489B3RB,9.32,8.74,0.0,21.77,0.0,7.02,16.1,28.64,16.34,0.0,0.0,18.55,13.43,8.97,16.44,5.55,32.17,28.14,22.64,13.68,18.37,17.08,53.78,40.45,0.5369378585241315,0.006823036759015263
tRF-21-32Q86N7KE,4.66,17.48,4.08,21.77,2.53,14.04,20.13,9.55,65.34,10.1,28.26,18.55,0.0,8.97,8.22,22.19,51.48,11.26,30.18,6.84,12.86,25.62,10.76,26.96,-0.0017121510693263453,0.9936648665131675
tRF-21-3OPP6N7KE,16.3,0.0,8.16,32.65,7.6,14.04,4.03,14.32,16.34,5.05,28.26,13.91,0.0,13.46,24.66,16.64,19.3,16.89,7.55,13.68,3.67,4.27,0.0,20.22,-0.30944332459891655,0.14117623596776807
tRF-21-40KK5Y93E,25.62,131.06,32.63,65.31,17.72,35.09,16.1,42.96,65.34,60.62,56.52,83.46,0.0,53.84,41.1,94.32,102.96,56.29,120.72,34.21,20.21,29.89,21.51,26.96,-0.4137464391917308,0.044449905673970315
tRF-21-8BWSNKP9D,4.66,61.16,12.23,43.54,15.19,0.0,20.13,4.77,81.68,15.16,65.94,4.64,26.86,4.49,41.1,22.19,32.17,28.14,0.0,6.84,11.02,8.54,43.03,13.48,-0.13782973536533571,0.5207071930546767
tRF-21-8EKSP185D,44.25,69.9,32.63,76.19,25.32,28.07,40.26,62.05,65.34,30.31,84.77,23.18,40.28,44.87,73.98,44.38,57.91,16.89,90.54,54.74,20.21,21.35,107.57,20.22,-0.14826101277670084,0.48932066184211237
tRF-21-9MVH7P59D,25.62,43.69,8.16,43.54,10.13,28.07,16.1,57.28,32.67,20.21,28.26,78.82,0.0,13.46,8.22,94.32,32.17,33.77,22.64,27.37,7.35,17.08,43.03,26.96,-0.14004170211806083,0.513972105648884
tRF-21-9N1EWJQ7D,18.63,52.43,16.31,32.65,0.0,14.04,12.08,9.55,0.0,15.16,0.0,23.18,0.0,0.0,24.66,16.64,32.17,16.89,52.82,20.53,5.51,17.08,10.76,26.96,-0.11906811814651898,0.5794757858783014
tRF-21-D81H93WBE,11.64,52.43,20.39,0.0,15.19,14.04,4.03,9.55,49.01,5.05,28.26,9.27,0.0,8.97,32.88,22.19,19.3,28.14,15.09,0.0,3.67,8.54,0.0,6.74,-0.3587067993830333,0.08519528454219077
tRF-21-DRFU8U76B,34.93,96.11,36.7,87.08,22.79,91.23,52.34,62.05,81.68,50.52,113.03,41.73,53.71,49.35,98.63,38.84,148.0,135.09,150.9,109.48,22.05,25.62,86.06,128.08,-0.15325944247000906,0.4746247063340244
tRF-21-FSXMSL73E,16.3,17.48,0.0,32.65,7.6,0.0,8.05,33.41,49.01,15.16,28.26,13.91,26.86,4.49,0.0,16.64,32.17,28.14,22.64,82.11,0.0,8.54,10.76,0.0,-0.3772522238982714,0.0691693287556975
tRF-21-I7XUK87SB,4.66,26.21,0.0,10.88,12.66,14.04,4.03,19.09,0.0,15.16,0.0,23.18,0.0,0.0,32.88,22.19,25.74,22.51,0.0,0.0,0.0,29.89,32.27,6.74,0.18282377418686585,0.39250829822036215
tRF-21-J9ZH0SR90,37.26,148.54,44.86,141.5,22.79,63.16,44.29,105.01,81.68,65.67,150.71,83.46,147.71,31.41,98.63,122.06,167.31,123.83,83.0,82.11,36.75,72.58,43.03,33.7,-0.4347188027013912,0.03376631213423441
tRF-21-JOWU1M70E,72.2,157.28,77.49,217.7,60.77,98.25,56.36,133.65,196.02,90.93,235.48,153.01,161.14,44.87,156.17,144.25,154.44,101.32,67.91,68.42,64.31,115.28,32.27,175.26,-0.21040962378643333,0.32370587396954154
tRF-21-LI38NJW1B,13.97,17.48,4.08,21.77,5.06,28.07,12.08,0.0,32.67,5.05,9.42,18.55,40.28,8.97,16.44,5.55,19.3,28.14,30.18,0.0,11.02,21.35,10.76,6.74,-0.1442825177360731,0.5011785022798985
tRF-21-LMK8J7K1B,53.57,366.98,73.41,141.5,63.3,147.37,104.68,114.56,277.7,60.62,207.22,88.1,107.42,40.38,172.61,177.54,250.96,247.66,188.63,130.01,84.52,153.7,172.11,155.04,-0.08425113918762633,0.6954957323065967
tRF-21-LNK8KEP1B,6.99,34.95,8.16,0.0,5.06,21.05,32.21,23.87,0.0,20.21,47.1,27.82,26.86,31.41,41.1,11.1,12.87,33.77,15.09,13.68,7.35,21.35,21.51,20.22,-0.0855412879858395,0.6910551219733108
tRF-21-MNH5SYNXD,102.47,192.23,48.94,97.96,35.45,98.25,52.34,95.47,81.68,45.47,150.71,171.56,80.57,76.27,213.71,210.83,160.87,202.63,188.63,95.79,45.94,98.2,96.81,148.3,-0.20264452386228965,0.34228615648533317
tRF-21-NB8PLML3E,27.95,52.43,12.23,32.65,5.06,0.0,4.03,19.09,32.67,10.1,28.26,60.28,13.43,8.97,24.66,61.03,70.78,67.54,22.64,6.84,1.84,12.81,0.0,6.74,-0.4442229322501784,0.02965221072371644
tRF-21-O9XEKJ5R0,32.6,0.0,40.78,76.19,400.07,329.83,157.02,4.77,147.02,106.09,122.45,0.0,1087.67,94.22,32.88,61.03,6.43,0.0,45.27,6.84,5.51,0.0,43.03,6.74,-0.16880828924825622,0.4303900644226222
tRF-21-PS5P4PW3B,2.33,34.95,24.47,10.88,12.66,0.0,8.05,0.0,32.67,20.21,18.84,4.64,13.43,8.97,24.66,22.19,45.04,84.43,22.64,6.84,5.51,17.08,10.76,6.74,-0.26063347255062985,0.21866997458664988
tRF-21-R29P4P9L0,51.24,87.38,32.63,108.85,108.88,70.18,44.29,81.15,114.35,30.31,75.35,92.73,174.56,40.38,106.85,94.32,77.22,101.32,83.0,41.05,16.54,64.04,21.51,47.19,-0.44647672734807553,0.028737967933932802
tRF-21-RK9P4P9L0,16.3,8.74,4.08,32.65,7.6,0.0,0.0,19.09,16.34,30.31,28.26,13.91,53.71,8.97,8.22,5.55,19.3,22.51,0.0,6.84,1.84,17.08,0.0,20.22,-0.19541061865465675,0.36015321389747745
tRF-21-RPM830MME,30.28,43.69,16.31,43.54,37.98,21.05,12.08,38.19,49.01,30.31,18.84,32.46,0.0,8.97,73.98,16.64,12.87,73.17,22.64,0.0,11.02,25.62,0.0,20.22,-0.2880809248255304,0.1722187033748221
tRF-21-S3M8309NB,30.28,122.33,16.31,43.54,58.24,77.19,36.23,33.41,98.01,50.52,56.52,55.64,80.57,17.95,73.98,55.48,115.83,45.03,52.82,41.05,12.86,55.5,10.76,20.22,-0.4282344282127234,0.03682454265380824
tRF-21-U1O0789ND,6.99,26.21,16.31,10.88,2.53,28.07,12.08,0.0,16.34,15.16,18.84,18.55,0.0,8.97,98.63,44.38,19.3,16.89,52.82,6.84,1.84,21.35,32.27,53.93,0.08567233465798263,0.6906046172565208
tRF-21-U4307W5ND,2.33,17.48,0.0,0.0,0.0,14.04,12.08,23.87,16.34,0.0,9.42,0.0,13.43,8.97,16.44,22.19,12.87,28.14,45.27,0.0,12.86,8.54,10.76,6.74,-0.07874245977305426,0.7145641576594293
tRF-21-UMX0S75ND,53.57,349.5,110.11,217.7,70.9,168.42,84.55,47.73,375.71,146.5,216.64,69.55,201.42,94.22,271.25,88.77,173.74,236.41,135.81,130.01,53.29,98.2,193.63,128.08,-0.23547779875326075,0.26799806635463314
tRF-21-V47P596VE,172.34,209.7,110.11,206.81,106.35,91.23,96.62,229.12,506.39,95.99,226.06,463.67,214.85,134.6,221.93,721.25,296.01,247.66,233.9,54.74,101.06,162.24,236.65,370.75,-0.07218051605223212,0.737495795423228
tRF-21-V81H93WBE,25.62,17.48,20.39,21.77,15.19,63.16,32.21,42.96,0.0,40.41,56.52,46.37,13.43,4.49,49.32,11.1,96.52,67.54,113.18,13.68,20.21,21.35,32.27,60.67,-0.05761887412303522,0.7891405358916996
tRF-21-VBY9PYKHD,97.81,305.81,114.19,174.16,53.17,175.44,173.12,124.11,261.36,121.24,423.87,139.1,120.85,103.19,164.39,238.57,263.83,253.29,218.81,102.64,62.47,192.13,247.41,215.71,-0.050894909798878105,0.8132964865379861
tRF-21-W0K67205D,9.32,52.43,12.23,76.19,22.79,42.11,32.21,28.64,0.0,15.16,94.19,13.91,67.14,4.49,32.88,27.74,6.43,50.66,22.64,0.0,12.86,17.08,10.76,6.74,-0.27940888047719237,0.18608054880583857
tRF-21-WB08Q2B5D,13.97,87.38,20.39,54.42,20.26,112.28,72.47,42.96,65.34,20.21,47.1,46.37,53.71,53.84,65.76,83.22,102.96,73.17,90.54,54.74,27.56,38.43,75.3,40.45,-0.18111886202945263,0.3970130847504204
tRF-21-WB0Q37Q5D,111.79,297.08,97.88,478.94,68.37,329.83,112.73,214.8,522.72,151.56,405.03,143.74,187.99,139.09,320.56,194.18,283.14,405.27,279.17,225.8,40.42,192.13,344.22,202.23,-0.19514908948364304,0.36080918211617574
tRF-21-WB8647O5D,4.66,61.16,20.39,10.88,7.6,63.16,40.26,28.64,81.68,10.1,28.26,9.27,13.43,4.49,8.22,0.0,64.35,28.14,7.55,6.84,11.02,21.35,21.51,26.96,-0.05937284774748261,0.7828692886917066
tRF-21-WB8689SVD,13.97,34.95,24.47,0.0,2.53,14.04,4.03,9.55,49.01,20.21,0.0,9.27,0.0,22.43,0.0,5.55,45.04,28.14,15.09,34.21,1.84,4.27,21.51,13.48,-0.21459527494752628,0.31394927760788893
tRF-21-WB86N7O5D,60.55,305.81,48.94,239.47,108.88,140.35,108.7,76.37,375.71,90.93,301.42,97.37,134.28,85.25,147.95,88.77,218.79,140.72,196.17,88.95,86.36,115.28,161.35,101.11,-0.2029541264599553,0.34153344099340294
tRF-21-WB86Q3P9D,6.99,43.69,28.55,21.77,10.13,14.04,24.16,14.32,16.34,5.05,75.35,13.91,40.28,22.43,32.88,0.0,32.17,50.66,37.73,41.05,7.35,25.62,10.76,0.0,-0.36972782507023183,0.07536759752002559
tRF-21-WD8S746DD,228.23,865.01,187.6,674.87,172.18,280.71,330.14,291.17,686.07,308.16,772.38,227.2,308.85,188.44,386.32,249.66,398.97,489.7,694.15,314.75,130.46,251.9,602.39,411.2,-0.14508056666457958,0.49878864179613003
tRF-21-WD8SS46DD,102.47,235.91,57.09,195.93,68.37,126.32,140.91,133.65,326.7,116.19,273.16,106.64,134.28,85.25,180.83,166.44,57.91,146.35,233.9,123.16,53.29,128.08,204.38,235.93,-0.006872939431588704,0.9745731787722878
tRF-21-WD8YQ84VD,2.33,26.21,8.16,0.0,7.6,21.05,4.03,9.55,49.01,10.1,28.26,37.09,40.28,35.89,24.66,33.29,19.3,11.26,0.0,20.53,1.84,8.54,43.03,13.48,-0.09822960018177106,0.64792812992385
tRF-21-WE884U1DD,16.3,113.59,24.47,97.96,7.6,14.04,20.13,19.09,65.34,45.47,131.87,32.46,26.86,31.41,82.2,44.38,64.35,95.69,22.64,47.9,14.7,34.16,43.03,47.19,-0.2402842605589536,0.25806551248015086
tRF-21-WE8S68L5D,27.95,157.28,16.31,97.96,17.72,70.18,20.13,38.19,81.68,40.41,94.19,32.46,53.71,35.89,49.32,83.22,64.35,61.92,45.27,41.05,55.12,34.16,75.3,47.19,-0.08409161593534006,0.6960454800052747
tRF-21-WE8SPOL5D,83.84,235.91,48.94,97.96,32.92,119.3,112.73,95.47,228.69,70.73,263.74,60.28,13.43,58.33,82.2,61.03,160.87,16.89,113.18,109.48,60.64,64.04,150.6,121.34,-0.04545751826338619,0.8329530141546724
tRF-21-WE8SPOX5D,181.66,882.49,118.27,315.66,172.18,371.94,269.74,381.87,147.02,151.56,536.9,292.11,187.99,148.06,427.42,427.2,405.4,320.84,271.62,191.59,154.35,251.9,365.74,350.53,-0.07188326539993746,0.7385399102986392
tRF-21-WEK6PM85D,11.64,17.48,0.0,10.88,2.53,7.02,0.0,19.09,32.67,0.0,28.26,9.27,0.0,0.0,24.66,33.29,19.3,16.89,15.09,0.0,1.84,8.54,10.76,0.0,-0.27760318446701576,0.18906056130772447
tRF-21-WEKSP185D,11.64,78.64,4.08,76.19,25.32,35.09,28.18,42.96,81.68,35.36,94.19,27.82,53.71,22.43,49.32,27.74,38.61,39.4,15.09,41.05,16.54,25.62,53.78,33.7,-0.17193782240806044,0.4217648989135253
tRF-21-WEKSPM85D,197.96,891.23,220.22,468.05,136.73,329.83,326.11,276.85,784.08,237.44,574.58,250.38,174.56,246.77,468.51,255.21,347.49,332.09,452.71,260.01,191.1,273.25,473.31,296.6,-0.14601231541381876,0.49600554578116296
tRF-21-WPMN1E8Y0,9.32,34.95,0.0,43.54,7.6,14.04,0.0,33.41,65.34,0.0,0.0,32.46,26.86,17.95,49.32,44.38,12.87,28.14,7.55,0.0,7.35,0.0,32.27,33.7,-0.08055354972917009,0.7082760735249878
tRF-21-XEKJ5R5ND,6.99,34.95,8.16,0.0,5.06,28.07,8.05,14.32,16.34,20.21,56.52,37.09,26.86,0.0,24.66,22.19,32.17,22.51,7.55,13.68,7.35,25.62,10.76,13.48,-0.16753953794566015,0.4339137288763352
tRF-21-XSXMSL73E,30.28,113.59,44.86,119.73,27.85,63.16,84.55,28.64,196.02,30.31,37.68,32.46,67.14,62.81,41.1,55.48,83.65,84.43,75.45,54.74,38.59,4.27,64.54,13.48,-0.36478239697330955,0.07966516116921857
tRF-22-18YKISQI3,97.81,166.01,130.5,97.96,68.37,119.3,84.55,85.92,147.02,90.93,122.45,129.83,120.85,125.63,32.88,94.32,148.0,106.95,67.91,82.11,64.31,102.47,150.6,47.19,-0.20124647079558347,0.3456974154279534
tRF-22-1EWJQ72SJ,51.24,96.11,61.17,130.62,35.45,77.19,56.36,76.37,147.02,55.57,103.61,176.2,94.0,89.73,73.98,216.37,64.35,112.57,83.0,82.11,22.05,51.23,96.81,74.15,-0.32757383139469853,0.11815132299731168
tRF-22-43RX6NMH3,6.99,52.43,12.23,0.0,10.13,35.09,8.05,14.32,0.0,5.05,9.42,32.46,53.71,0.0,0.0,22.19,12.87,67.54,15.09,0.0,16.54,12.81,10.76,6.74,-0.12883001675197725,0.5485381650670499
tRF-22-79MP9P9MI,6.99,43.69,4.08,21.77,15.19,0.0,16.1,42.96,49.01,25.26,37.68,32.46,13.43,22.43,8.22,16.64,90.09,11.26,15.09,20.53,7.35,25.62,64.54,6.74,0.0010748416304192238,0.9960229528557893
tRF-22-86J8WPMNH,16.3,43.69,16.31,10.88,7.6,56.14,8.05,14.32,0.0,15.16,28.26,4.64,0.0,13.46,24.66,27.74,25.74,11.26,0.0,13.68,7.35,8.54,21.51,13.48,-0.09505960196131467,0.6586068547707874
tRF-22-8B8871K92,18.63,52.43,4.08,43.54,15.19,7.02,28.18,19.09,0.0,10.1,75.35,23.18,13.43,17.95,16.44,44.38,25.74,22.51,30.18,6.84,14.7,4.27,21.51,40.45,-0.09907234028744617,0.6451003944966778
tRF-22-8B8SOUPR2,37.26,61.16,32.63,54.42,55.71,98.25,56.36,57.28,81.68,40.41,103.61,51.0,40.28,40.38,65.76,66.58,109.39,84.43,83.0,61.58,27.56,51.23,32.27,40.45,-0.4232061368859742,0.039343667993285016
tRF-22-8BWS72092,67.54,480.56,81.56,228.58,111.41,196.5,165.07,167.07,424.71,101.04,357.93,148.37,94.0,62.81,164.39,99.87,231.66,174.49,294.26,116.32,104.74,102.47,150.6,141.56,-0.24248312205440786,0.25360178037022985
tRF-22-8BWS7K092,32.6,166.01,28.55,97.96,32.92,91.23,68.44,62.05,81.68,70.73,37.68,27.82,13.43,53.84,164.39,105.41,64.35,50.66,75.45,27.37,51.45,25.62,75.3,47.19,-0.1709794807434471,0.42439607343936014
